timestamp,/sys/class/thermal/thermal_zone0/temp,/sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq,/sys/devices/platform/cpu-throttle-alert/thermal_trip_event,/sys/class/thermal/thermal_zone1/temp,/sys/class/devfreq/17000000.gpu/cur_freq,/sys/devices/platform/gpu-throttle-alert/thermal_trip_event
2025-09-29T14:14:53+09:00,47343,1267200,0,43531,1300500000,0
2025-09-29T14:15:03+09:00,47906,1420800,0,42968,306000000,0
2025-09-29T14:15:13+09:00,47125,729600,0,43187,306000000,0
2025-09-29T14:15:23+09:00,47281,2201600,0,43125,306000000,0
2025-09-29T14:15:33+09:00,46937,1186000,0,42968,306000000,0
2025-09-29T14:15:43+09:00,47062,729600,0,43343,306000000,0
2025-09-29T14:15:53+09:00,47156,729600,0,43375,306000000,0
2025-09-29T14:16:03+09:00,47312,1420800,0,43437,306000000,0
2025-09-29T14:16:13+09:00,47062,729600,0,43187,306000000,0
2025-09-29T14:16:23+09:00,47250,729600,0,43125,306000000,0
2025-09-29T14:16:33+09:00,47250,1420800,0,43187,306000000,0
2025-09-29T14:16:43+09:00,47156,729600,0,43218,306000000,0
2025-09-29T14:16:53+09:00,47093,1344000,0,43375,306000000,0
2025-09-29T14:17:03+09:00,47250,1116000,0,43437,306000000,0
2025-09-29T14:17:13+09:00,47343,1420800,0,43437,306000000,0
2025-09-29T14:17:23+09:00,48468,1420800,0,43375,306000000,0
2025-09-29T14:17:33+09:00,47968,1420800,0,43906,306000000,0
2025-09-29T14:17:43+09:00,48125,729600,0,45000,1300500000,0
2025-09-29T14:17:53+09:00,48406,729600,0,45437,1300500000,0
2025-09-29T14:18:03+09:00,48562,1420800,0,45593,1300500000,0
2025-09-29T14:18:13+09:00,48781,1420800,0,45656,1300500000,0
2025-09-29T14:18:23+09:00,48562,1420800,0,45687,1300500000,0
2025-09-29T14:18:33+09:00,48687,1420800,0,45750,1300500000,0
2025-09-29T14:18:43+09:00,48875,729600,0,45875,1300500000,0
2025-09-29T14:18:53+09:00,48906,729600,0,45937,1300500000,0
2025-09-29T14:19:04+09:00,49156,1420800,0,46000,1300500000,0
2025-09-29T14:19:14+09:00,49156,729600,0,46343,1300500000,0
2025-09-29T14:19:24+09:00,49406,1420800,0,46656,1300500000,0
2025-09-29T14:19:34+09:00,49562,1420800,0,46312,1300500000,0
